path,Statcast,PitchFX,Pre-tracking
gameData.players.ID115007.nameFirstLast,N/A,N/A,str
gameData.players.ID115007.nameSlug,N/A,N/A,str
gameData.players.ID115007.nickName,N/A,N/A,str
gameData.players.ID115007.pitchHand.code,N/A,N/A,str
gameData.players.ID115007.pitchHand.description,N/A,N/A,str
gameData.players.ID115007.primaryNumber,N/A,N/A,str
gameData.players.ID115007.primaryPosition.abbreviation,N/A,N/A,str
gameData.players.ID115007.primaryPosition.code,N/A,N/A,str
gameData.players.ID115007.primaryPosition.name,N/A,N/A,str
gameData.players.ID115007.primaryPosition.type,N/A,N/A,str
gameData.players.ID115007.strikeZoneBottom,N/A,N/A,float
gameData.players.ID115007.strikeZoneTop,N/A,N/A,float
gameData.players.ID115007.useLastName,N/A,N/A,str
gameData.players.ID115007.useName,N/A,N/A,str
gameData.players.ID115007.weight,N/A,N/A,int
